"Ubigeo","Provincia","Region","Organización Política","Electores","Votos","% Votos","total_electores_mujeres","porcentaje_mujeres","total_electores_jovenes","porcentaje_jovenes","IDH","% Pobreza Extrema","PE_Hab"
60300,"CELENDIN","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",67577,31762,0.807,34656,51.0495382031906,22589,33.2744118903472,0.322969234443926,40.9529671025905,40113.4312769874
60500,"CONTUMAZA","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",21730,8516,0.6084,10896,50.1911649546271,6049,27.8640195310701,0.422103348701852,25.5848640567282,7583.60955505481
60600,"CUTERVO","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",98205,42346,0.731,49474,50.3296032553408,32139,32.6948118006104,0.354765665560503,37.34835645768,52204.785689416
60400,"CHOTA","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",121394,66988,0.8592,63685,52.4406712669422,36578,30.1197279359694,0.360510072551923,29.3701090887041,50080.1478115129
60700,"HUALGAYOC","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",71739,41949,0.904,37678,52.1639208085283,22327,30.9109788176658,0.369343332788354,25.3518234050847,25356.6402515316
60800,"JAEN","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",158905,72760,0.6998,76651,48.2947421478751,52322,32.9660082537882,0.494398319418157,16.076147008845,37157.9239118342
61300,"SANTA CRUZ","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",32122,13949,0.718,16436,51.027631170444,9242,28.6929524992238,0.390976160229844,31.9672776288705,13898.0936219278
61100,"SAN MIGUEL","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",39653,18354,0.7108,20583,51.8724798387097,9984,25.1612903225806,0.370704804639486,34.7648155717841,18463.2459020188
60900,"SAN IGNACIO","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",103195,53076,0.7889,48218,46.6798973812866,38473,37.2457524565565,0.359697614389447,30.808762799628,48552.1454711897
61000,"SAN MARCOS","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",39727,17596,0.7361,19908,50.4869141813755,12285,31.1548995739501,0.338971877022097,39.5049061856557,22883.2169080411
61200,"SAN PABLO","CAJAMARCA","PARTIDO POLITICO NACIONAL PERU LIBRE",18527,9781,0.7904,9624,51.5949177076074,5566,29.8397040690506,0.312599948625524,35.9446070165389,9417.12759226302
80100,"CUSCO","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",356439,188294,0.7155,182373,51.5480847503618,112324,31.7485980463097,0.665288583510104,0.28544299120666,1436.68880891145
80200,"ACOMAYO","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",19229,12645,0.93,9703,50.2954592577234,6894,35.7350196972838,0.297651102095443,13.9611105885579,3800.77274662901
80300,"ANTA","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",48975,31243,0.8822,24442,49.9264645804396,15783,32.2391535256148,0.394515119323147,5.86450563255025,3909.68997005227
80400,"CALCA","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",54375,33987,0.8759,26745,49.2541436464088,18528,34.121546961326,0.389339846392094,7.33453589109189,5620.52819870262
80500,"CANAS","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",29976,20979,0.9564,14879,49.2910620817598,10697,35.4369575299808,0.256786798672869,9.9693306744438,4125.00995316461
80600,"CANCHIS","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",80435,54914,0.9172,41199,51.2132362081396,27686,34.4156328468787,0.468225536616414,4.57112046313923,5148.27013281519
80700,"CHUMBIVILCAS","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",56496,37205,0.9646,28173,49.8072979280107,20316,35.9168375645287,0.337228237205751,12.1100825549882,9877.58883597612
80800,"ESPINAR","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",45665,31461,0.9221,24019,52.6778664795157,15932,34.9416615492587,0.463360639814818,5.19499258090353,3524.85441606885
80900,"LA CONVENCION","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",150555,80604,0.8456,70799,46.6513356439688,48686,32.0804944584283,0.45051159283271,3.33276217135448,7191.86747243097
81000,"PARURO","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",24396,14739,0.9211,11776,47.6934915556276,7970,32.2789680450367,0.248395089228038,13.5845189178122,4540.62544827874
81100,"PAUCARTAMBO","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",34593,23356,0.9248,16702,48.1311777758566,13142,37.8721074320625,0.242395128877282,20.7399319594225,11139.832254045
81200,"QUISPICANCHI","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",69572,45833,0.898,34511,49.5790713711068,25377,36.4570164348925,0.346616053888373,14.6479690023507,15295.1162728746
81300,"URUBAMBA","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",54574,35261,0.8656,27028,48.7993355721662,17498,31.5928212905788,0.538025492645071,2.26105227997248,1726.42646837299
90100,"HUANCAVELICA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",95192,58658,0.8814,48954,51.4357762017337,34406,36.1502495403205,0.426498716124205,10.5268656271773,14727.2955497336
90200,"ACOBAMBA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",33498,19060,0.8712,17824,53.1678797279561,12621,37.6476554110488,0.308727887798234,15.7175768389343,7678.03628581941
90300,"ANGARAES","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",37599,22351,0.8878,19612,52.1637364683352,15185,40.3888608133628,0.325894433932419,16.5935335794407,9611.14058454785
90400,"CASTROVIRREYNA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",15346,6194,0.6765,7913,51.2234593474883,4325,27.9971517348524,0.395403763628716,14.2592762579112,2876.80898503359
90700,"TAYACAJA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",72692,39343,0.8422,38013,52.4425743257226,26234,36.1923156515141,0.36393637351504,17.6417192905736,18326.041581855
90600,"HUAYTARA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",18290,6890,0.6745,9398,51.2907275009551,5102,27.8447852425913,0.401376031385841,21.0386446030836,5071.57566801933
90500,"CHURCAMPA","HUANCAVELICA","PARTIDO POLITICO NACIONAL PERU LIBRE",27226,13783,0.8421,14450,52.9478582682936,9907,36.3013447656737,0.320636220266902,21.7327836436542,8762.44103728494
100100,"HUANUCO","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",228782,100117,0.6395,114954,50.6213505015721,75692,33.3318654606625,0.528693190085859,13.5612378086434,44845.9285341591
100200,"AMBO","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",43046,19053,0.6767,21508,49.8308697465363,14632,33.9001899819285,0.375436336723439,22.7279999219742,14116.8153115366
100300,"DOS DE MAYO","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",28260,13494,0.8072,14529,51.0864978902954,10173,35.7700421940928,0.385045066532898,20.5159168647425,8607.45292060272
100500,"HUAMALIES","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",42898,20869,0.8267,21654,50.2704585026117,15177,35.2338943702844,0.378053917211422,18.9257507221961,12118.5367024366
100700,"MARAÑON","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",20200,8579,0.6925,9837,48.695609128261,7475,37.0031186574922,0.329365035168257,28.3730316085985,9049.86216187858
100600,"LEONCIO PRADO","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",100653,36550,0.5436,48694,48.4098342728186,33145,32.9515742590991,0.499959701878324,9.92219165464359,14794.0869789901
100800,"PACHITEA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",41193,20480,0.8176,20436,49.4770482277746,16494,39.9331783846601,0.27313445048065,30.9177246593378,19741.2763722338
100900,"PUERTO INCA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",26435,9290,0.6161,11880,44.9948869446654,9529,36.0905957656327,0.387250062379581,9.07961431755105,3964.52279561549
100400,"HUACAYBAMBA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",12794,5666,0.832,6454,50.378580907033,4872,38.0298181250488,0.318457467200167,32.9856651445637,6299.60232930878
101000,"LAURICOCHA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",17578,8868,0.8565,8935,49.4712363656497,6409,35.4852998172859,0.422385974109054,16.5418089231481,4167.70875818717
101100,"YAROWILCA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",24572,12590,0.9078,12512,49.4917131442585,8812,34.856216130691,0.300668529919315,21.8902561225049,7491.72125536607
110100,"ICA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",298645,105869,0.4702,150102,50.2652200120555,85786,28.727479740138,0.639701672784679,0.0270399478362889,114.478215956061
110200,"CHINCHA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",169636,60889,0.4678,86362,50.9333034518958,51274,30.2396216066384,0.58832352616094,0.0183718324218082,46.2773598422654
110300,"NASCA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",57819,20001,0.4907,27942,48.2240861551206,16721,28.8581685133409,0.612562282061653,0.00822524093377863,6.66170488467665
110500,"PISCO","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",113273,42172,0.4897,56153,49.6187118380475,33644,29.7289893875531,0.574090958577166,0.386710015211027,641.58285203631
110400,"PALPA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",11991,4385,0.5015,5703,47.2337253602783,3043,25.2029153553089,0.607555711702318,0.00217115336770603,0.349555692200671
120100,"HUANCAYO","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",441918,192763,0.6021,226103,51.2986718335232,137227,31.1343186056748,0.576126155747245,1.75663216512372,10831.4641954395
120200,"CONCEPCION","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",47839,18344,0.5681,24779,51.6390538710014,15094,31.4556632280921,0.453853110513058,8.3052316866018,5561.3492419823
120400,"JAUJA","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",69503,24646,0.5152,36570,52.5521641662356,20528,29.4993389664885,0.500636544184358,5.83341710352436,5516.48755228988
120500,"JUNIN","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",17765,7902,0.6812,10422,58.1098410928352,5189,28.9322553666016,0.431471860723871,11.3023758743875,2853.73688452411
120700,"TARMA","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",73433,26099,0.5146,39323,53.4686718155118,20564,27.9614924398999,0.477457888731104,7.33318915791528,7534.55853219163
120800,"YAULI","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",29839,12994,0.6745,15552,50.1353965183752,8836,28.4848484848485,0.636860163344852,1.95181028259584,827.138161558466
120600,"SATIPO","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",128701,46149,0.5561,60050,46.7097075295582,49493,38.4979775980087,0.393847202784345,4.95142864219865,10272.9270611152
120300,"CHANCHAMAYO","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",125327,43805,0.5341,59675,47.6831616712878,42829,34.2224068909859,0.478648032961303,4.04856663973883,7500.49601377934
120900,"CHUPACA","JUNIN","PARTIDO POLITICO NACIONAL PERU LIBRE",48231,23896,0.6811,25131,52.3377137263886,14743,30.703709103026,0.510284435266002,4.0939221092272,2742.06808953929
130100,"TRUJILLO","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",790766,189118,0.3363,405894,51.5490339017061,231979,29.46161642075,0.639914596032168,1.0900032401289,12017.2857224211
130300,"BOLIVAR","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",11373,3522,0.6137,5356,46.9124989051415,4044,35.4208636244197,0.294998261362244,41.3820261499426,7350.27548475281
130900,"SANCHEZ CARRION","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",110055,33875,0.5092,56141,50.8500520809746,43574,39.467415425026,0.28632748315696,27.7165812182988,49430.5824421506
130600,"OTUZCO","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",68814,22808,0.5253,34112,48.7307324181083,22318,31.882401679976,0.278322949710468,27.6716718430965,28253.6071019568
130700,"PACASMAYO","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",79705,23759,0.4273,40331,50.7244371777135,22146,27.8531002389637,0.57922443766549,2.59242131849008,2858.45559419353
130800,"PATAZ","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",52983,17526,0.5793,25691,48.2750197301665,19649,36.9217182156413,0.392855935777298,31.9864692450671,27165.4686004506
131000,"SANTIAGO DE CHUCO","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",39189,13560,0.5626,19602,48.9364889155183,13854,34.5865787896944,0.352373208439143,25.2302609698276,15264.055584136
130200,"ASCOPE","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",94654,27260,0.3999,47767,50.2239559237919,25087,26.3773815031333,0.584927811478705,1.87918084949615,2439.60895424139
130400,"CHEPEN","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",66588,20163,0.4352,33856,50.6348802775825,18952,28.3445253727772,0.558693646146731,3.50494502259456,3238.4640525267
130500,"JULCAN","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",24779,8611,0.5599,12110,47.8240265381881,8674,34.2547981991944,0.21955269163205,48.6658747819406,18132.4182850033
131100,"GRAN CHIMU","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",21851,4215,0.3178,10265,46.7206772563834,6658,30.3035819944472,0.372397790744179,23.6597279490214,7364.32692141239
131200,"VIRU","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",68712,27807,0.5624,33441,49.0308486305789,24465,35.8703301859128,0.500233557710893,2.76453403717084,2975.10859478214
140100,"CHICLAYO","LAMBAYEQUE","PARTIDO POLITICO NACIONAL PERU LIBRE",669481,191094,0.4032,345418,51.5888816370178,195486,29.196232146831,0.578176327430654,0.681119824325721,6344.3178484749
140200,"FERREÑAFE","LAMBAYEQUE","PARTIDO POLITICO NACIONAL PERU LIBRE",78604,26528,0.5134,39647,50.2254934252198,25360,32.1264790088424,0.423008219796997,16.5550793588706,19341.4647657621
140300,"LAMBAYEQUE","LAMBAYEQUE","PARTIDO POLITICO NACIONAL PERU LIBRE",229571,72162,0.4312,115417,50.3654667719793,75505,32.9487386487112,0.477565771225824,2.4289832097869,8376.6643667674
150100,"LIMA","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",7558581,1938450,0.3427,3835526,50.743995466874,2094779,27.7139187897834,0.725512871501011,3.05,311246.827
150300,"CAJATAMBO","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",5620,1437,0.451,2772,48.6571879936809,1458,25.5924170616114,0.384518578224376,16.412594486395,1259.99487872054
150400,"CANTA","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",11546,4398,0.5204,5492,47.6984540559319,2735,23.7536911585895,0.568441901944859,3.29106196724283,489.084718951957
150500,"CAÑETE","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",180820,62459,0.4531,91208,50.5209516160301,55269,30.6140083640291,0.684562180648377,0.847808966856876,2185.96520587476
150800,"HUAURA","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",177424,59687,0.464,89039,50.2114725254895,50572,28.5189028241451,0.650962551949398,1.26288017283011,3098.80485288362
150700,"HUAROCHIRI","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",87022,33291,0.5311,44358,50.9434612336775,21816,25.0548390431018,0.551932831420412,3.20862064070644,3712.88746059986
151000,"YAUYOS","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",21280,7645,0.5928,10361,48.0632741104978,5294,24.5581481653291,0.446639148512079,10.4716502535109,2822.42389282878
150600,"HUARAL","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",150797,47573,0.4349,74888,49.684858617624,44019,29.2046494964372,0.632245619233628,1.06787791682993,2210.69950586299
