"Provincia","Region","Organización Política","Votos","% Votos","Total_electores","total_electores_mujeres","total_electores_jovenes","porcentaje_mujeres","porcentaje_jovenes","Ubigeo","IDH","% Pobreza Extrema","PE_Hab"
"MARISCAL LUZURIAGA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",4094,0.5433,16171,8319,5352,51.4439428606765,33.09628347041,"021300","0.27613298173258299","16.7370305340092","3977.7226767126199"
"MARISCAL NIETO","MOQUEGUA","PARTIDO POLITICO NACIONAL PERU LIBRE",19073,0.397,71998,34639,18974,48.1110586405178,26.3535098197172,"180100","0.69323998907309103","1.6369413603276399","1573.9191179550201"
"MARISCAL RAMON CASTILLA","LORETO","PARTIDO POLITICO NACIONAL PERU LIBRE",262,0.02,47396,21539,17205,45.4447632711621,36.300531690438,"160400","0.35160249548356498","12.2520457076107","10016.047365971701"
"MAYNAS","LORETO","PARTIDO POLITICO NACIONAL PERU LIBRE",5834,0.0301,374317,183500,122135,49.0226198649808,32.6287611837026,"160100","0.56380771692093801","4.8537337546788599","28501.318756824501"
"MELGAR","PUNO","PARTIDO POLITICO NACIONAL PERU LIBRE",18762,0.5305,55059,28564,18384,51.8788935505549,33.3896365716777,"210800","0.42942049264437299","15.603643982148601","11842.3856002517"
"MOHO","PUNO","PARTIDO POLITICO NACIONAL PERU LIBRE",7084,0.6263,21624,11137,5573,51.5029596744358,25.7722900480947,"210900","0.28031193172688501","25.944967189043201","7032.3833565901596"
"MORROPON","PIURA","PARTIDO POLITICO NACIONAL PERU LIBRE",6940,0.1123,131951,64378,38307,48.7893233094103,29.0312312904033,"200400","0.431884363464973","12.889209034175799","24223.463890468502"
"MOYOBAMBA","SAN MARTIN","PARTIDO POLITICO NACIONAL PERU LIBRE",12209,0.2633,97021,46455,33255,47.8813865039527,34.276084559013,"220100","0.48825333700065199","5.5364483411983398","8190.1233956181204"
"NASCA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",5126,0.1594,57942,27942,16721,48.2240861551206,28.8581685133409,"110300","0.61256228206165297","8.2252409337786308E-3","6.6617048846766496"
"OCROS","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",315,0.1387,5481,2600,1140,47.4365991607371,20.7991242474001,"021400","0.46545448462455102","7.4690346493294699","516.85719773359904"
